epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6884,2.26244,3.45735,1.17962,0.03337,0.65124,0.03881,0.01314,1.89477,3.43961,0.99084,0.0003,0.0003,0.0003
2,42.5474,1.97386,1.88197,1.01018,0.03739,0.72971,0.04603,0.01864,1.67331,3.20333,0.97749,0.000613862,0.000613862,0.000613862
3,51.5307,1.81955,1.48871,1.00452,0.03428,0.66901,0.04112,0.01976,1.60461,3.04733,0.97879,0.000921388,0.000921388,0.000921388
4,60.6417,1.78047,1.38173,1.00688,0.03995,0.77968,0.0736,0.03051,1.69991,2.86811,1.00143,0.00122258,0.00122258,0.00122258
5,69.5473,1.77518,1.35125,0.99683,0.15017,0.43394,0.11921,0.0541,1.74826,2.5971,0.98967,0.00151743,0.00151743,0.00151743
6,78.5811,1.78346,1.31605,0.99065,0.02892,0.56439,0.06403,0.02051,2.47569,2.5747,1.24281,0.00180595,0.00180595,0.00180595
7,87.3593,1.73345,1.26631,0.99413,0.42784,0.44702,0.32724,0.15845,1.7692,1.8114,1.04697,0.0018812,0.0018812,0.0018812
8,96.1289,1.71559,1.24132,0.98392,0.19634,0.1945,0.09532,0.02443,3.20849,2.00498,1.49995,0.0018614,0.0018614,0.0018614
9,105.074,1.72756,1.22242,0.97149,0.6869,0.58518,0.65877,0.32715,1.59572,1.29596,0.97942,0.0018416,0.0018416,0.0018416
10,113.802,1.68665,1.20593,0.97705,0.60736,0.59759,0.6217,0.32255,1.53664,1.23175,0.97668,0.0018218,0.0018218,0.0018218
11,122.711,1.66312,1.16659,0.97451,0.64383,0.62475,0.64319,0.33646,1.57125,1.21494,0.98904,0.001802,0.001802,0.001802
12,131.484,1.67186,1.16482,0.96447,0.67995,0.64262,0.68091,0.37758,1.51048,1.17925,0.98431,0.0017822,0.0017822,0.0017822
13,140.39,1.66829,1.15703,0.98967,0.66509,0.63682,0.68698,0.38366,1.51232,1.13698,0.97498,0.0017624,0.0017624,0.0017624
14,149.2,1.6537,1.13941,0.97244,0.63147,0.61234,0.66312,0.35706,1.52695,1.35449,0.97228,0.0017426,0.0017426,0.0017426
15,158.28,1.56923,1.08389,0.9585,0.6706,0.64319,0.67553,0.3711,1.53732,1.18223,0.97601,0.0017228,0.0017228,0.0017228
16,167.191,1.58207,1.08718,0.96455,0.69274,0.62526,0.69275,0.40107,1.44414,1.15187,0.97449,0.001703,0.001703,0.001703
17,175.988,1.59828,1.08966,0.96094,0.62127,0.593,0.6152,0.33188,1.56222,1.24889,0.99205,0.0016832,0.0016832,0.0016832
18,184.758,1.59519,1.09497,0.95549,0.68739,0.67237,0.71129,0.39903,1.48785,1.07259,0.97292,0.0016634,0.0016634,0.0016634
19,193.766,1.55195,1.05865,0.95551,0.71151,0.66298,0.72648,0.41235,1.49409,1.08501,0.96821,0.0016436,0.0016436,0.0016436
20,202.577,1.55188,1.05866,0.95845,0.69619,0.6578,0.72138,0.40401,1.48926,1.06952,0.96383,0.0016238,0.0016238,0.0016238
21,211.644,1.5149,1.03705,0.9506,0.71896,0.64621,0.70279,0.39996,1.46098,1.13289,0.96878,0.001604,0.001604,0.001604
22,220.689,1.54278,1.05011,0.94956,0.67561,0.64533,0.69906,0.37645,1.5423,1.08072,0.96746,0.0015842,0.0015842,0.0015842
23,229.746,1.57433,1.05848,0.96015,0.71528,0.67606,0.732,0.43317,1.41169,1.01849,0.95328,0.0015644,0.0015644,0.0015644
24,238.691,1.54119,1.03844,0.9583,0.71467,0.67807,0.73123,0.43062,1.38459,1.02578,0.95313,0.0015446,0.0015446,0.0015446
25,247.591,1.52365,1.02746,0.94315,0.71539,0.65747,0.7139,0.41934,1.41399,1.05672,0.95393,0.0015248,0.0015248,0.0015248
26,256.336,1.50774,1.03079,0.95084,0.73027,0.68343,0.75243,0.44119,1.42315,1.0468,0.96023,0.001505,0.001505,0.001505
27,265.064,1.52969,1.02467,0.94877,0.70099,0.66509,0.72396,0.42411,1.4167,1.05692,0.95664,0.0014852,0.0014852,0.0014852
28,273.914,1.48783,1.00899,0.94173,0.7054,0.67287,0.70904,0.40802,1.4587,1.08667,0.9584,0.0014654,0.0014654,0.0014654
29,282.752,1.48519,0.99932,0.92985,0.72029,0.68645,0.73248,0.42447,1.41762,1.02664,0.9559,0.0014456,0.0014456,0.0014456
30,291.518,1.51958,1.016,0.94811,0.69206,0.69517,0.7276,0.43667,1.34565,1.11432,0.94377,0.0014258,0.0014258,0.0014258
31,300.308,1.49177,0.9988,0.94364,0.70618,0.70892,0.74734,0.4495,1.35275,1.02135,0.94798,0.001406,0.001406,0.001406
32,309.104,1.45771,0.98429,0.93287,0.71667,0.64976,0.71997,0.4035,1.47144,1.05337,0.96466,0.0013862,0.0013862,0.0013862
33,317.868,1.47724,0.99266,0.9442,0.74434,0.69514,0.75866,0.45356,1.37991,1.00609,0.94159,0.0013664,0.0013664,0.0013664
34,326.81,1.48971,0.98943,0.92642,0.70795,0.67371,0.73232,0.42542,1.42806,1.06331,0.95352,0.0013466,0.0013466,0.0013466
35,335.557,1.45527,0.97465,0.9321,0.70209,0.70423,0.74123,0.4421,1.36611,1.02982,0.94487,0.0013268,0.0013268,0.0013268
36,344.284,1.43533,0.96851,0.92402,0.72548,0.69392,0.75095,0.45052,1.35084,0.97211,0.94447,0.001307,0.001307,0.001307
37,353.075,1.42978,0.96557,0.93112,0.71534,0.69953,0.75935,0.4634,1.34284,1.0073,0.94119,0.0012872,0.0012872,0.0012872
38,361.792,1.49208,0.99683,0.94189,0.71629,0.66834,0.73452,0.4246,1.42711,1.03217,0.96075,0.0012674,0.0012674,0.0012674
39,370.649,1.46932,0.97696,0.93804,0.73871,0.67125,0.7437,0.43673,1.36578,0.99082,0.94709,0.0012476,0.0012476,0.0012476
40,379.455,1.45882,0.95952,0.92808,0.68208,0.6717,0.70131,0.40072,1.45799,1.02951,0.96586,0.0012278,0.0012278,0.0012278
41,388.261,1.40416,0.944,0.92476,0.72752,0.69517,0.74933,0.45462,1.33432,0.96796,0.94084,0.001208,0.001208,0.001208
42,397.165,1.48265,0.98779,0.92993,0.72465,0.70456,0.75412,0.45624,1.33723,1.02235,0.9427,0.0011882,0.0011882,0.0011882
43,405.981,1.42222,0.95891,0.92454,0.75146,0.69349,0.76721,0.46611,1.32767,0.95971,0.94156,0.0011684,0.0011684,0.0011684
44,414.823,1.45073,0.96908,0.93019,0.7184,0.69554,0.74861,0.43625,1.41242,1.00844,0.95379,0.0011486,0.0011486,0.0011486
45,423.639,1.45231,0.96889,0.92793,0.72976,0.67438,0.73949,0.44683,1.34595,1.01138,0.93967,0.0011288,0.0011288,0.0011288
46,432.365,1.4071,0.94339,0.9252,0.71004,0.72401,0.76706,0.45245,1.38251,0.97853,0.93748,0.001109,0.001109,0.001109
47,441.25,1.41666,0.95567,0.92303,0.72732,0.69081,0.75601,0.45956,1.31714,0.98975,0.93163,0.0010892,0.0010892,0.0010892
48,450.108,1.42175,0.95543,0.92313,0.71745,0.69282,0.75232,0.45256,1.34299,1.01687,0.94429,0.0010694,0.0010694,0.0010694
