epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4855,2.43573,3.16166,1.36536,0.02267,0.46768,0.02368,0.00783,1.89386,3.54019,1.28458,0.00042,0.00042,0.00042
2,52.8533,2.02374,1.98888,1.15889,0.0301,0.62105,0.03641,0.0143,1.65204,3.06115,1.21743,0.000842972,0.000842972,0.000842972
3,71.6479,1.87557,1.6536,1.11418,0.04267,0.88033,0.07211,0.03407,1.57001,2.74555,1.28724,0.00124852,0.00124852,0.00124852
4,90.2326,1.85339,1.62035,1.10266,0.27131,0.29505,0.19553,0.09346,1.75022,2.42237,1.75116,0.00163664,0.00163664,0.00163664
5,108.426,1.88836,1.55148,1.10905,0.49804,0.48143,0.4767,0.2454,1.69372,2.05746,1.23618,0.0018416,0.0018416,0.0018416
6,126.528,1.86299,1.5521,1.09409,0.41773,0.53645,0.39287,0.183,1.59623,2.01924,1.17592,0.001802,0.001802,0.001802
7,144.679,1.78289,1.47232,1.06061,0.6207,0.54924,0.60234,0.32167,1.5169,1.59582,1.11785,0.0017624,0.0017624,0.0017624
8,163.151,1.72889,1.45452,1.05307,0.60062,0.60197,0.61683,0.33131,1.51017,1.53238,1.15218,0.0017228,0.0017228,0.0017228
9,181.223,1.71366,1.40945,1.04247,0.6306,0.59172,0.62276,0.33607,1.53053,1.42011,1.11717,0.0016832,0.0016832,0.0016832
10,199.53,1.68809,1.3879,1.03471,0.63318,0.59904,0.63578,0.33914,1.48152,1.42052,1.13148,0.0016436,0.0016436,0.0016436
11,217.613,1.66933,1.3726,1.03618,0.63909,0.58322,0.61254,0.32685,1.45482,1.43109,1.09243,0.001604,0.001604,0.001604
12,235.466,1.668,1.36292,1.02223,0.67283,0.56602,0.63783,0.33138,1.5312,1.41968,1.10966,0.0015644,0.0015644,0.0015644
13,253.332,1.66809,1.34753,1.02345,0.6036,0.60798,0.62422,0.31684,1.4941,1.44659,1.09431,0.0015248,0.0015248,0.0015248
14,271.404,1.68517,1.33401,1.01776,0.62036,0.56978,0.62631,0.33257,1.48481,1.40903,1.10888,0.0014852,0.0014852,0.0014852
15,289.537,1.66702,1.32962,1.03128,0.65928,0.5709,0.63362,0.33736,1.49033,1.38311,1.08918,0.0014456,0.0014456,0.0014456
16,307.835,1.65217,1.31795,1.02115,0.63952,0.59697,0.65114,0.36414,1.4049,1.38794,1.08194,0.001406,0.001406,0.001406
17,325.624,1.60365,1.30506,1.01752,0.63865,0.59972,0.63995,0.33482,1.4234,1.3122,1.08211,0.0013664,0.0013664,0.0013664
18,343.762,1.63481,1.2725,0.99435,0.67448,0.59766,0.67554,0.38454,1.38501,1.33478,1.0675,0.0013268,0.0013268,0.0013268
19,361.665,1.57694,1.26911,1.01039,0.65394,0.60248,0.66114,0.35257,1.38941,1.30136,1.06141,0.0012872,0.0012872,0.0012872
20,379.648,1.57489,1.26622,1.00937,0.66859,0.59078,0.65798,0.36537,1.40228,1.3374,1.07578,0.0012476,0.0012476,0.0012476
21,397.668,1.58894,1.24504,0.99859,0.69431,0.5956,0.6836,0.38564,1.39528,1.35888,1.05764,0.001208,0.001208,0.001208
22,415.753,1.54951,1.25216,0.99327,0.68865,0.59904,0.67537,0.38955,1.36906,1.3206,1.05943,0.0011684,0.0011684,0.0011684
23,433.656,1.52724,1.23347,0.99133,0.6885,0.61761,0.68169,0.38776,1.29729,1.30036,1.04834,0.0011288,0.0011288,0.0011288
24,451.78,1.52764,1.23606,0.99594,0.65213,0.62015,0.67873,0.39191,1.3543,1.25873,1.07625,0.0010892,0.0010892,0.0010892
25,470.199,1.55309,1.23029,0.99542,0.67,0.63961,0.68257,0.38589,1.43854,1.54603,1.09068,0.0010496,0.0010496,0.0010496
26,488.518,1.50931,1.22908,0.99336,0.68394,0.64144,0.68665,0.38992,1.37275,1.35045,1.08355,0.00101,0.00101,0.00101
27,506.503,1.51775,1.23834,0.99862,0.69592,0.60385,0.68493,0.39264,1.3737,1.2825,1.06464,0.0009704,0.0009704,0.0009704
28,525.288,1.50961,1.20723,0.99484,0.69928,0.6238,0.70008,0.40832,1.29309,1.29195,1.05142,0.0009308,0.0009308,0.0009308
29,543.36,1.48456,1.18432,0.98057,0.677,0.6348,0.68178,0.38897,1.31421,1.25992,1.05221,0.0008912,0.0008912,0.0008912
30,561.857,1.48696,1.17782,0.97502,0.64977,0.63032,0.68033,0.40419,1.28629,1.2367,1.04965,0.0008516,0.0008516,0.0008516
31,580.042,1.47043,1.16644,0.97329,0.68822,0.64443,0.70083,0.42141,1.2819,1.24314,1.05745,0.000812,0.000812,0.000812
32,598.099,1.50523,1.17194,0.97714,0.67131,0.63824,0.69515,0.41727,1.31962,1.3037,1.03591,0.0007724,0.0007724,0.0007724
33,616.005,1.47381,1.17145,0.97705,0.6747,0.6238,0.69152,0.4082,1.27835,1.27004,1.0274,0.0007328,0.0007328,0.0007328
34,634.049,1.43818,1.16993,0.97323,0.67623,0.65062,0.70359,0.41995,1.28471,1.2514,1.03683,0.0006932,0.0006932,0.0006932
35,651.982,1.47647,1.17046,0.98327,0.67125,0.65062,0.69721,0.41406,1.33589,1.2613,1.04594,0.0006536,0.0006536,0.0006536
36,669.843,1.47641,1.14215,0.96908,0.6728,0.63498,0.69444,0.40929,1.33518,1.27699,1.04822,0.000614,0.000614,0.000614
37,687.942,1.45346,1.15178,0.96728,0.66423,0.63686,0.69072,0.41374,1.31169,1.25458,1.05113,0.0005744,0.0005744,0.0005744
38,705.837,1.40397,1.13092,0.96323,0.67831,0.6458,0.69838,0.41707,1.29302,1.24,1.04747,0.0005348,0.0005348,0.0005348
39,723.858,1.41719,1.14397,0.96782,0.69624,0.64787,0.70781,0.42808,1.30088,1.2687,1.04924,0.0004952,0.0004952,0.0004952
40,742.081,1.43019,1.11526,0.95828,0.69673,0.63205,0.70845,0.42424,1.31456,1.28456,1.04527,0.0004556,0.0004556,0.0004556
41,757.029,1.37552,1.14626,0.97573,0.70834,0.61761,0.69928,0.42092,1.2689,1.2327,1.03212,0.000416,0.000416,0.000416
42,771.647,1.33643,1.10629,0.96962,0.68344,0.62724,0.69275,0.40341,1.31665,1.20949,1.04587,0.0003764,0.0003764,0.0003764
43,785.815,1.31348,1.07567,0.97453,0.68586,0.64718,0.71034,0.42814,1.26337,1.24094,1.03201,0.0003368,0.0003368,0.0003368
44,800.198,1.32702,1.06896,0.96155,0.6541,0.64637,0.70313,0.4273,1.26536,1.23991,1.03522,0.0002972,0.0002972,0.0002972
45,814.404,1.31986,1.07115,0.957,0.67015,0.64237,0.70237,0.42636,1.26609,1.23592,1.02638,0.0002576,0.0002576,0.0002576
46,828.752,1.29767,1.0587,0.96473,0.66486,0.6575,0.70776,0.43112,1.25455,1.25645,1.02324,0.000218,0.000218,0.000218
47,842.902,1.31568,1.07154,0.95737,0.6662,0.64237,0.69824,0.41748,1.27214,1.24292,1.02828,0.0001784,0.0001784,0.0001784
48,857.486,1.29557,1.05068,0.9581,0.68605,0.63874,0.70507,0.42561,1.25383,1.24861,1.02505,0.0001388,0.0001388,0.0001388
49,871.856,1.30241,1.05822,0.95574,0.69055,0.63549,0.69823,0.41872,1.26073,1.24535,1.02848,9.92e-05,9.92e-05,9.92e-05
50,886.448,1.27397,1.03819,0.9484,0.69061,0.64168,0.70892,0.43223,1.24037,1.25037,1.02723,5.96e-05,5.96e-05,5.96e-05
